granularity,target_project,model_name,timestamp_covered_rows,timestamp_total_rows,timestamp_row_coverage,timestamp_covered_unique_shas,timestamp_total_unique_shas,timestamp_sha_coverage,ambiguous_timestamp_shas,temporal_split_unit,status,error_message,temporal_train_unique_shas,temporal_test_unique_shas,temporal_train_rows,temporal_test_rows,temporal_train_positives,temporal_test_positives,temporal_test_start_timestamp,lopo_late_f1_1,wpdp_f1_1,wpdp_minus_lopo_f1_1,lopo_late_mcc,wpdp_mcc,wpdp_minus_lopo_mcc,lopo_late_auc,wpdp_auc,wpdp_minus_lopo_auc,lopo_late_pr_auc,wpdp_pr_auc,wpdp_minus_lopo_pr_auc
file,terraform,logistic_regression,2368,2370,0.9991561181,1258,1260,0.9984126984,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,1006,252,1667,701,670,177,1518640541,0.3108108108,0.3271221532,0.0163113424,0.01070705927,0.0114942077,0.0007871484307,0.5244264027,0.5150784923,-0.009347910467,0.2686843794,0.2620034317,-0.006680947719
file,traefik,naive_bayes,6797,6797,1,1364,1364,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,1091,273,6003,794,1676,215,1663938749,0.4066666667,0.3553162853,-0.05135038134,-0.02046491941,-0.06588727943,-0.04542236002,0.463063823,0.4851950034,0.02213118046,0.2528797789,0.2718284939,0.01894871499
file,vault,naive_bayes,965,965,1,392,392,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,313,79,814,151,259,31,1685556248,0.3164556962,0.170212766,-0.1462429302,-0.04811007825,-0.1640488507,-0.1159387724,0.5163978495,0.4322580645,-0.08413978495,0.2229555568,0.1872796519,-0.03567590485
method,caddy,naive_bayes,1467,1467,1,459,459,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,367,92,1211,256,682,51,1704889487,0.3450980392,0.3422053232,-0.002892716022,0.08166193701,0.07169303575,-0.009968901266,0.5906264945,0.6030607365,0.01243424199,0.2358866145,0.2830719075,0.04718529302
method,compose,naive_bayes,271,271,1,47,47,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,37,10,172,99,98,31,1693549976,0.5098039216,0.5098039216,0,0.1822071178,0.1822071178,0,0.6759962049,0.6878557875,0.01185958254,0.4873232032,0.471168281,-0.01615492221
method,consul,naive_bayes,636,636,1,92,92,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,73,19,494,142,295,65,1639005115,0.6192893401,0.6137566138,-0.005532726345,0.03190250944,0.05265789956,0.02075539012,0.5082917083,0.5392607393,0.03096903097,0.4614986879,0.4761399766,0.01464128866
method,fiber,naive_bayes,2008,2008,1,241,241,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,192,49,1713,295,1088,99,1709538554,0.5091863517,0.5243243243,0.01513797262,0.08264011537,0.1589811211,0.07634100576,0.6253607504,0.650974026,0.02561327561,0.4037562782,0.4732548836,0.0694986053
method,gin,naive_bayes,176,176,1,86,86,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,68,18,154,22,71,1,1673880607,0.09523809524,0,-0.09523809524,0.06900655593,0,-0.06900655593,0.4285714286,0.5238095238,0.09523809524,0.07692307692,0.09090909091,0.01398601399
method,gitea,naive_bayes,54137,54137,1,6759,6759,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,5407,1352,47171,6966,18297,2041,1690174641,0.477871512,0.4711168164,-0.006754695574,0.1468310377,0.1250744023,-0.02175663539,0.5179760096,0.7182613281,0.2002853185,0.2879422019,0.5416663035,0.2537241016
method,grafana,naive_bayes,11766,11766,1,2856,2856,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,2284,572,9334,2432,3635,423,1713488918,0.3055005936,0.2951076321,-0.0103929615,0.0636713056,0.02038387779,-0.04328742781,0.5944220276,0.5641269135,-0.03029511407,0.2164012517,0.1937379821,-0.02266326965
method,influxdb,naive_bayes,2851,2851,1,332,332,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,265,67,2316,535,1485,113,1711412553,0.3905325444,0.4080808081,0.0175482637,0.1640377013,0.2058812255,0.04184352417,0.6396007214,0.6398104265,0.0002097051546,0.3344174345,0.3105284519,-0.02388898259
method,kubernetes,naive_bayes,1215,1215,1,197,197,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,157,40,1039,176,606,36,1693810429,0.3463687151,0.1034482759,-0.2429204392,0.06315539556,-0.0638876565,-0.1270430521,0.6079365079,0.5301587302,-0.07777777778,0.3103013333,0.2177853924,-0.0925159409
method,minio,naive_bayes,13340,13340,1,1680,1680,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,1344,336,10245,3095,6115,1341,1685031851,0.6191109928,0.6098258383,-0.009285154498,0.1830805337,0.1448464381,-0.03823409563,0.6119450418,0.6139054059,0.001960364166,0.5072479693,0.5026373285,-0.004610640886
method,nomad,naive_bayes,2938,2941,0.9989799388,551,554,0.9945848375,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,440,111,2347,591,1132,62,1712669304,0.1942446043,0.1811722913,-0.01307231302,0.03243903649,-0.02394946585,-0.05638850234,0.5921397646,0.5469845722,-0.04515519239,0.1537514854,0.1146391734,-0.03911231199
method,packer,naive_bayes,1393,1393,1,250,250,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,200,50,1279,114,453,25,1620721486,0.368,0.2769230769,-0.09107692308,0.06912430936,0.01013123723,-0.05899307213,0.4925842697,0.5784269663,0.08584269663,0.2403599965,0.2680174657,0.02765746918
method,rclone,naive_bayes,508,508,1,124,124,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,99,25,435,73,302,11,1707762294,0.3125,0.2909090909,-0.02159090909,0.1728909317,0.1071969615,-0.06569397023,0.474340176,0.4684750733,-0.005865102639,0.1426041291,0.142584457,-1.967215585e-05
method,terraform,naive_bayes,6230,6234,0.9993583574,1198,1200,0.9983333333,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,958,240,3951,2279,1708,559,1510169076,0.3938931298,0.3780733575,-0.01581977225,0.03630981771,-0.006829316476,-0.04313913419,0.5608671007,0.5566714856,-0.004195615093,0.3022477048,0.3058153785,0.0035676737
method,traefik,naive_bayes,25810,25810,1,1254,1254,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,1003,251,24644,1166,6751,353,1663763409,0.4605263158,0.2995720399,-0.1609542758,0.0428891113,-0.001448443109,-0.04433755441,0.5343933043,0.4743474489,-0.06004585542,0.3205283912,0.3111429911,-0.009385400107
method,vault,naive_bayes,3274,3274,1,368,368,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,294,74,3024,250,799,57,1686155640,0.3879310345,0.2637362637,-0.1241947707,0.1061071003,-0.08580773277,-0.1919148331,0.583401509,0.4343241523,-0.1490773566,0.2835521956,0.2132927929,-0.07025940274
