row_threshold,minority_threshold,left_granularity,right_granularity,comparison,metric,left_adequate_targets,right_adequate_targets,paired_target_count,mean_paired_difference,median_paired_difference,wins,ties,losses,wilcoxon_statistic,wilcoxon_pvalue,all_target_mean_difference_sign,thresholded_mean_difference_sign,sign_stable_vs_all_targets,reporting_only_thresholds
200,100,commit,method,commit_vs_method,mcc,12,15,12,0.2734162603,0.2955448551,12,0,0,0,0.00048828125,1,1,True,True
200,100,method,file,method_vs_file,f1_1,15,12,12,0.1607667443,0.137682581,11,0,1,4,0.00341796875,1,1,True,True
200,100,method,file,method_vs_file,mcc,15,12,12,0.03398191424,-0.002390757214,6,0,6,28,0.423828125,1,1,True,True
500,20,commit,file,commit_vs_file,f1_1,9,10,9,0.3467113234,0.3287584079,9,0,0,0,0.00390625,1,1,True,True
500,20,commit,file,commit_vs_file,mcc,9,10,9,0.3249460968,0.329918386,9,0,0,0,0.00390625,1,1,True,True
500,20,commit,method,commit_vs_method,f1_1,9,14,9,0.1929212416,0.2332187053,9,0,0,0,0.00390625,1,1,True,True
500,20,commit,method,commit_vs_method,mcc,9,14,9,0.2749981962,0.2807646835,9,0,0,0,0.00390625,1,1,True,True
500,20,method,file,method_vs_file,f1_1,14,10,10,0.1649117281,0.137682581,9,0,1,3,0.009765625,1,1,True,True
500,20,method,file,method_vs_file,mcc,14,10,10,0.05337417051,0.04663273952,6,0,4,14,0.193359375,1,1,True,True
500,30,commit,file,commit_vs_file,f1_1,9,10,9,0.3467113234,0.3287584079,9,0,0,0,0.00390625,1,1,True,True
500,30,commit,file,commit_vs_file,mcc,9,10,9,0.3249460968,0.329918386,9,0,0,0,0.00390625,1,1,True,True
500,30,commit,method,commit_vs_method,f1_1,9,14,9,0.1929212416,0.2332187053,9,0,0,0,0.00390625,1,1,True,True
500,30,commit,method,commit_vs_method,mcc,9,14,9,0.2749981962,0.2807646835,9,0,0,0,0.00390625,1,1,True,True
500,30,method,file,method_vs_file,f1_1,14,10,10,0.1649117281,0.137682581,9,0,1,3,0.009765625,1,1,True,True
500,30,method,file,method_vs_file,mcc,14,10,10,0.05337417051,0.04663273952,6,0,4,14,0.193359375,1,1,True,True
500,50,commit,file,commit_vs_file,f1_1,9,10,9,0.3467113234,0.3287584079,9,0,0,0,0.00390625,1,1,True,True
500,50,commit,file,commit_vs_file,mcc,9,10,9,0.3249460968,0.329918386,9,0,0,0,0.00390625,1,1,True,True
500,50,commit,method,commit_vs_method,f1_1,9,14,9,0.1929212416,0.2332187053,9,0,0,0,0.00390625,1,1,True,True
500,50,commit,method,commit_vs_method,mcc,9,14,9,0.2749981962,0.2807646835,9,0,0,0,0.00390625,1,1,True,True
500,50,method,file,method_vs_file,f1_1,14,10,10,0.1649117281,0.137682581,9,0,1,3,0.009765625,1,1,True,True
500,50,method,file,method_vs_file,mcc,14,10,10,0.05337417051,0.04663273952,6,0,4,14,0.193359375,1,1,True,True
500,75,commit,file,commit_vs_file,f1_1,9,10,9,0.3467113234,0.3287584079,9,0,0,0,0.00390625,1,1,True,True
500,75,commit,file,commit_vs_file,mcc,9,10,9,0.3249460968,0.329918386,9,0,0,0,0.00390625,1,1,True,True
500,75,commit,method,commit_vs_method,f1_1,9,14,9,0.1929212416,0.2332187053,9,0,0,0,0.00390625,1,1,True,True
500,75,commit,method,commit_vs_method,mcc,9,14,9,0.2749981962,0.2807646835,9,0,0,0,0.00390625,1,1,True,True
500,75,method,file,method_vs_file,f1_1,14,10,10,0.1649117281,0.137682581,9,0,1,3,0.009765625,1,1,True,True
500,75,method,file,method_vs_file,mcc,14,10,10,0.05337417051,0.04663273952,6,0,4,14,0.193359375,1,1,True,True
500,100,commit,file,commit_vs_file,f1_1,9,10,9,0.3467113234,0.3287584079,9,0,0,0,0.00390625,1,1,True,True
500,100,commit,file,commit_vs_file,mcc,9,10,9,0.3249460968,0.329918386,9,0,0,0,0.00390625,1,1,True,True
500,100,commit,method,commit_vs_method,f1_1,9,14,9,0.1929212416,0.2332187053,9,0,0,0,0.00390625,1,1,True,True
500,100,commit,method,commit_vs_method,mcc,9,14,9,0.2749981962,0.2807646835,9,0,0,0,0.00390625,1,1,True,True
500,100,method,file,method_vs_file,f1_1,14,10,10,0.1649117281,0.137682581,9,0,1,3,0.009765625,1,1,True,True
500,100,method,file,method_vs_file,mcc,14,10,10,0.05337417051,0.04663273952,6,0,4,14,0.193359375,1,1,True,True
