granularity,target_project,model_name,best_params,smote_k,f1_1,mcc,auc,pr_auc,fixed_family_and_hyperparameters
file,influxdb,logistic_regression,"{""model__C"": 1.0}",1,0.4255319149,0.07139014006,0.5477930996,0.3268229523,True
file,kubernetes,logistic_regression,"{""model__C"": 0.1}",1,0.3956834532,0.08521503653,0.5561365174,0.4081822889,True
file,minio,logistic_regression,"{""model__C"": 1.0}",1,0.4305103149,0.04184806355,0.523417461,0.3576682786,True
file,nomad,logistic_regression,"{""model__C"": 10.0}",1,0.4982817869,0.07651032759,0.535848262,0.3842030467,True
file,packer,logistic_regression,"{""model__C"": 0.1}",1,0.4925053533,0.07753459337,0.5448552754,0.3790872612,True
file,rclone,logistic_regression,"{""model__C"": 0.1}",1,0.3538461538,-0.0112509722,0.4888626834,0.4015078701,True
file,terraform,logistic_regression,"{""model__C"": 10.0}",1,0.5023060797,0.09043638999,0.563256592,0.3913792397,True
file,traefik,naive_bayes,"{""model__var_smoothing"": 1e-09}",1,0.4273697426,0.01293461795,0.5334005911,0.2980944209,True
file,vault,naive_bayes,"{""model__var_smoothing"": 1e-09}",1,0.4555353902,0.04318798926,0.5791034483,0.3650542704,True
file,caddy,logistic_regression,"{""model__C"": 0.1}",3,0.1959654179,0.009953525994,0.5266444852,0.3918625617,True
file,compose,logistic_regression,"{""model__C"": 10.0}",3,0.5252525253,0.04914019747,0.537525355,0.4455107511,True
file,consul,naive_bayes,"{""model__var_smoothing"": 1e-09}",3,0.513368984,-0.03341202602,0.5520871143,0.4489761564,True
file,fiber,naive_bayes,"{""model__var_smoothing"": 1e-09}",3,0.4623513871,0.00184897772,0.4716407496,0.3049065688,True
file,gin,logistic_regression,"{""model__C"": 1.0}",3,0.5,0.123591994,0.6533650983,0.571756757,True
file,gitea,naive_bayes,"{""model__var_smoothing"": 1e-09}",3,0.3958529689,0.006464336011,0.5121753402,0.265813254,True
file,grafana,logistic_regression,"{""model__C"": 0.1}",3,0.4055299539,0.06149671616,0.5493632364,0.3027366377,True
file,influxdb,logistic_regression,"{""model__C"": 1.0}",3,0.4178571429,0.05913748241,0.5464418231,0.3229508312,True
file,kubernetes,logistic_regression,"{""model__C"": 0.1}",3,0.3897058824,0.08852504019,0.5646688518,0.4186784992,True
file,minio,logistic_regression,"{""model__C"": 1.0}",3,0.4431352459,0.03662001827,0.5217202533,0.3557619217,True
file,nomad,logistic_regression,"{""model__C"": 10.0}",3,0.4873803307,0.0606028998,0.538503076,0.3860717355,True
file,packer,logistic_regression,"{""model__C"": 0.1}",3,0.4885177453,0.05732239582,0.5379178338,0.3718652701,True
file,rclone,logistic_regression,"{""model__C"": 0.1}",3,0.3538461538,-0.0112509722,0.4914832285,0.4017702739,True
file,terraform,logistic_regression,"{""model__C"": 10.0}",3,0.5090759076,0.09902207022,0.5639233072,0.3893610442,True
file,traefik,naive_bayes,"{""model__var_smoothing"": 1e-09}",3,0.4223363286,0.003716814124,0.5305114794,0.2959680598,True
file,vault,naive_bayes,"{""model__var_smoothing"": 1e-09}",3,0.4615384615,0.05581757517,0.5768863346,0.3622381042,True
file,caddy,logistic_regression,"{""model__C"": 0.1}",5,0.1607142857,-0.0168725313,0.5308391011,0.3948373509,True
file,compose,logistic_regression,"{""model__C"": 10.0}",5,0.5306122449,0.0745627842,0.5398918188,0.4396110131,True
file,consul,naive_bayes,"{""model__var_smoothing"": 1e-09}",5,0.5086705202,0.01263499783,0.566061706,0.4644436442,True
file,fiber,naive_bayes,"{""model__var_smoothing"": 1e-09}",5,0.4722580645,0.01959084218,0.4767244817,0.3099941357,True
file,gin,logistic_regression,"{""model__C"": 1.0}",5,0.5373134328,0.07797393902,0.5845741513,0.5256228328,True
file,gitea,naive_bayes,"{""model__var_smoothing"": 1e-09}",5,0.3935480774,0.00575927614,0.5111394406,0.2643887474,True
file,grafana,logistic_regression,"{""model__C"": 0.1}",5,0.4122843921,0.07576269949,0.5526192951,0.303757184,True
file,influxdb,logistic_regression,"{""model__C"": 1.0}",5,0.4060150376,0.0541249278,0.5447471895,0.3303964371,True
file,kubernetes,logistic_regression,"{""model__C"": 0.1}",5,0.3943661972,0.07125150592,0.5638884553,0.4074868799,True
file,minio,logistic_regression,"{""model__C"": 1.0}",5,0.4345464422,0.04914495123,0.5282223565,0.3614986047,True
file,nomad,logistic_regression,"{""model__C"": 10.0}",5,0.4991482112,0.07419067174,0.5416256787,0.3882897259,True
file,packer,logistic_regression,"{""model__C"": 0.1}",5,0.498951782,0.08157476969,0.5440709617,0.3787628237,True
file,rclone,logistic_regression,"{""model__C"": 0.1}",5,0.3384615385,-0.0356738143,0.4922038784,0.400788426,True
file,terraform,logistic_regression,"{""model__C"": 10.0}",5,0.5100286533,0.09813187203,0.5604665379,0.3840697254,True
file,traefik,naive_bayes,"{""model__var_smoothing"": 1e-09}",5,0.4256403721,0.01293761316,0.5282863039,0.2964103356,True
file,vault,naive_bayes,"{""model__var_smoothing"": 1e-09}",5,0.4554637282,0.04722873765,0.5672413793,0.3662774381,True
file,caddy,logistic_regression,"{""model__C"": 0.1}",7,0.1844380403,-0.007962820795,0.5224231803,0.3912177111,True
file,compose,logistic_regression,"{""model__C"": 10.0}",7,0.5306122449,0.0745627842,0.5351588911,0.4409752337,True
file,consul,naive_bayes,"{""model__var_smoothing"": 1e-09}",7,0.5053763441,-0.05548877439,0.5620689655,0.4496460721,True
file,fiber,naive_bayes,"{""model__var_smoothing"": 1e-09}",7,0.4583333333,-0.01888278949,0.4718102073,0.3061585089,True
file,gin,logistic_regression,"{""model__C"": 1.0}",7,0.5373134328,0.07797393902,0.6051220965,0.5222993357,True
file,gitea,naive_bayes,"{""model__var_smoothing"": 1e-09}",7,0.3710615748,0.007576277118,0.5097899508,0.2619604885,True
file,grafana,logistic_regression,"{""model__C"": 0.1}",7,0.4137373737,0.06872031986,0.5509430508,0.3055498977,True
file,influxdb,logistic_regression,"{""model__C"": 1.0}",7,0.4136752137,0.03672969686,0.544016171,0.3214168848,True
file,kubernetes,logistic_regression,"{""model__C"": 0.1}",7,0.4042553191,0.09035860432,0.5640965611,0.4143861902,True
file,minio,logistic_regression,"{""model__C"": 1.0}",7,0.4296788483,0.04987660629,0.5264187587,0.361651984,True
file,nomad,logistic_regression,"{""model__C"": 10.0}",7,0.4936170213,0.0622109088,0.5357053683,0.3846184262,True
