granularity,target_project,model_name,best_params,source_conflict_identity_keys,source_conflict_rows_removed,target_conflict_identity_keys,target_conflict_rows_removed,cleaned_source_rows,cleaned_target_rows,posthoc_benchmark_cleaning_sensitivity,identity_definition,original_full_f1_1,original_model_retained_test_f1_1,conflict_cleaned_f1_1,cleaned_minus_original_full_f1_1,cleaned_minus_original_retained_test_f1_1,original_full_mcc,original_model_retained_test_mcc,conflict_cleaned_mcc,cleaned_minus_original_full_mcc,cleaned_minus_original_retained_test_mcc,original_full_auc,original_model_retained_test_auc,conflict_cleaned_auc,cleaned_minus_original_full_auc,cleaned_minus_original_retained_test_auc,original_full_pr_auc,original_model_retained_test_pr_auc,conflict_cleaned_pr_auc,cleaned_minus_original_full_pr_auc,cleaned_minus_original_retained_test_pr_auc
file,grafana,logistic_regression,"{""model__C"": 0.1}",2268,4536,70,140,33849,2631,True,project/file_path/sha,0.4128514056,0.4035989717,0.4023245418,-0.01052686383,-0.001274429925,0.06537445499,0.07042522495,0.07713273036,0.01175827537,0.006707505409,0.5511699061,0.5537973503,0.5537727334,0.002602827322,-2.461694541e-05,0.3056270726,0.2954761067,0.2940515727,-0.01157549998,-0.001424534009
file,influxdb,logistic_regression,"{""model__C"": 1.0}",2317,4634,21,42,35864,616,True,project/file_path/sha,0.4255319149,0.4161849711,0.4049079755,-0.02062393943,-0.01127699564,0.07139014006,0.07663016404,0.07230067329,0.0009105332373,-0.004329490743,0.5477930996,0.5526798252,0.5408605087,-0.006932590969,-0.01181931659,0.3268229523,0.3139421753,0.3014276404,-0.02539531187,-0.01251453488
file,kubernetes,logistic_regression,"{""model__C"": 0.1}",2337,4674,1,2,36075,405,True,project/file_path/sha,0.3956834532,0.3971119134,0.4121621622,0.01647870892,0.0150502488,0.08521503653,0.086494765,0.07364076138,-0.01157427515,-0.01285400362,0.5561365174,0.5566699968,0.5651619518,0.009025434484,0.00849195499,0.4081822889,0.4080243729,0.4162155534,0.008033264445,0.008191180505
file,minio,logistic_regression,"{""model__C"": 1.0}",1940,3880,398,796,32851,3629,True,project/file_path/sha,0.4305103149,0.4166094715,0.4077669903,-0.02274332458,-0.008842481226,0.04184806355,0.0543844862,0.04331179734,0.001463733796,-0.01107268885,0.523417461,0.531447639,0.5332738098,0.009856348858,0.00182617086,0.3576682786,0.3267547311,0.3280419183,-0.02962636034,0.001287187194
file,nomad,logistic_regression,"{""model__C"": 10.0}",2303,4606,35,70,35358,1122,True,project/file_path/sha,0.4982817869,0.4902506964,0.4897959184,-0.008485868574,-0.0004547780115,0.07651032759,0.07639267569,0.07504154045,-0.001468787144,-0.001351135244,0.535848262,0.5352117018,0.5389558783,0.003107616361,0.003744176487,0.3842030467,0.3761107319,0.3782026164,-0.006000430301,0.002091884505
file,packer,logistic_regression,"{""model__C"": 0.1}",2327,4654,11,22,36021,459,True,project/file_path/sha,0.4925053533,0.490990991,0.4861407249,-0.006364628372,-0.004850266044,0.07753459337,0.08348510805,0.04837445563,-0.02916013774,-0.03511065242,0.5448552754,0.5495969409,0.5387040099,-0.006151265522,-0.01089293096,0.3790872612,0.3757163938,0.3681675709,-0.01091969022,-0.007548822902
file,rclone,logistic_regression,"{""model__C"": 0.1}",2337,4674,1,2,36304,176,True,project/file_path/sha,0.3538461538,0.3565891473,0.3538461538,5.551115123e-17,-0.002742993441,-0.0112509722,-0.009799845203,-0.01965514953,-0.008404177323,-0.009855304324,0.4888626834,0.4887323944,0.4924882629,0.003625579473,0.003755868545,0.4015078701,0.4007977337,0.400374661,-0.00113320903,-0.0004230726282
file,terraform,logistic_regression,"{""model__C"": 10.0}",2284,4568,54,108,34218,2262,True,project/file_path/sha,0.5023060797,0.4993371631,0.5125799574,0.01027387769,0.0132427943,0.09043638999,0.09581083333,0.1128723076,0.02243591766,0.01706147432,0.563256592,0.5671873177,0.5675141902,0.004257598217,0.0003268725249,0.3913792397,0.3874173877,0.3877676803,-0.003611559426,0.0003502926299
file,traefik,naive_bayes,"{""model__var_smoothing"": 1e-09}",1734,3468,604,1208,30891,5589,True,project/file_path/sha,0.4273697426,0.3694023904,0.3682692308,-0.05910051185,-0.001133159669,0.01293461795,0.0142598127,0.01131395936,-0.001620658587,-0.002945853336,0.5334005911,0.5345941444,0.5223316381,-0.01106895299,-0.01226250634,0.2980944209,0.2478938735,0.2413568175,-0.05673760345,-0.006537056036
file,vault,naive_bayes,"{""model__var_smoothing"": 1e-09}",2328,4656,10,20,35535,945,True,project/file_path/sha,0.4555353902,0.4506517691,0.4504170528,-0.005118337373,-0.0002347162608,0.04318798926,0.04263348838,0.04013424459,-0.003053744664,-0.002499243785,0.5791034483,0.5811358754,0.5595354458,-0.01956800252,-0.02160042965,0.3650542704,0.3627736771,0.3417091197,-0.02334515064,-0.02106455738
