granularity,target_project,model_name,best_params,harmonized_features,source_feature_mapping,fixed_family_and_hyperparameters,partial_feature_family_harmonization_only,remaining_confounds,original_f1_1,harmonized_f1_1,harmonized_minus_original_f1_1,original_mcc,harmonized_mcc,harmonized_minus_original_mcc,original_auc,harmonized_auc,harmonized_minus_original_auc,original_pr_auc,harmonized_pr_auc,harmonized_minus_original_pr_auc
file,influxdb,logistic_regression,"{""model__C"": 1.0}",nloc;token_count;complexity,"{""complexity"": ""complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.4255319149,0.356557377,-0.06897453784,0.07139014006,0.001129626664,-0.07026051339,0.5477930996,0.5120064241,-0.03578667553,0.3268229523,0.3117465632,-0.0150763891
file,kubernetes,logistic_regression,"{""model__C"": 0.1}",nloc;token_count;complexity,"{""complexity"": ""complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.3956834532,0.4646464646,0.06896301141,0.08521503653,0.01644548077,-0.06876955576,0.5561365174,0.5098329952,-0.04630352219,0.4081822889,0.37389896,-0.03428332897
file,minio,logistic_regression,"{""model__C"": 1.0}",nloc;token_count;complexity,"{""complexity"": ""complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.4305103149,0.4496613995,0.01915108467,0.04184806355,-0.01565115593,-0.05749921948,0.523417461,0.491751018,-0.03166644292,0.3576682786,0.3452802622,-0.01238801641
file,nomad,logistic_regression,"{""model__C"": 10.0}",nloc;token_count;complexity,"{""complexity"": ""complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.4982817869,0.4949258392,-0.003355947753,0.07651032759,0.01857983116,-0.05793049643,0.535848262,0.5216250771,-0.01422318487,0.3842030467,0.3902394745,0.006036427755
file,packer,logistic_regression,"{""model__C"": 0.1}",nloc;token_count;complexity,"{""complexity"": ""complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.4925053533,0.4905660377,-0.001939315583,0.07753459337,0.008275149271,-0.0692594441,0.5448552754,0.5048179272,-0.04003734827,0.3790872612,0.366470643,-0.01261661816
file,rclone,logistic_regression,"{""model__C"": 0.1}",nloc;token_count;complexity,"{""complexity"": ""complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.3538461538,0.5168539326,0.1630077787,-0.0112509722,0.07285115304,0.08410212524,0.4888626834,0.5021619497,0.01329926625,0.4015078701,0.4050596595,0.003551789388
file,terraform,logistic_regression,"{""model__C"": 10.0}",nloc;token_count;complexity,"{""complexity"": ""complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.5023060797,0.4267942584,-0.07551182129,0.09043638999,0.002828915063,-0.08760747492,0.563256592,0.5094959462,-0.05376064575,0.3913792397,0.3619326184,-0.02944662134
file,traefik,naive_bayes,"{""model__var_smoothing"": 1e-09}",nloc;token_count;complexity,"{""complexity"": ""complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.4273697426,0.4329318208,0.005562078216,0.01293461795,-0.004403965333,-0.01733858328,0.5334005911,0.5476119745,0.01421138342,0.2980944209,0.3105985913,0.01250417043
file,vault,naive_bayes,"{""model__var_smoothing"": 1e-09}",nloc;token_count;complexity,"{""complexity"": ""complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.4555353902,0.4414029085,-0.01413248173,0.04318798926,-0.04883058154,-0.09201857079,0.5791034483,0.5501762452,-0.02892720307,0.3650542704,0.3395298466,-0.02552442372
method,caddy,naive_bayes,"{""model__var_smoothing"": 1e-09}",nloc;token_count;complexity,"{""complexity"": ""cyclomatic_complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.658084449,0.6550868486,-0.002997600386,0.1250209044,0.07982303773,-0.04519786663,0.5757478319,0.5916588913,0.0159110594,0.552832128,0.5607526593,0.007920531339
method,compose,naive_bayes,"{""model__var_smoothing"": 1e-09}",nloc;token_count;complexity,"{""complexity"": ""cyclomatic_complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.6234567901,0.6432160804,0.01975929028,0.134495151,-0.004141075867,-0.1386362269,0.609864614,0.6154602031,0.005595589038,0.5881762759,0.5811954644,-0.006980811466
method,consul,naive_bayes,"{""model__var_smoothing"": 1e-09}",nloc;token_count;complexity,"{""complexity"": ""cyclomatic_complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.6963292547,0.7145790554,0.01824980071,0.06976044268,0.007861242083,-0.0618992006,0.5882447665,0.5119716184,-0.07627314815,0.6502176057,0.5807131759,-0.06950442981
method,fiber,naive_bayes,"{""model__var_smoothing"": 1e-09}",nloc;token_count;complexity,"{""complexity"": ""cyclomatic_complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.7413127413,0.7394796017,-0.001833139642,0.08174268599,0.06384198336,-0.01790070264,0.5940333105,0.4993755945,-0.094657716,0.6529819899,0.5827147393,-0.07026725068
method,gin,naive_bayes,"{""model__var_smoothing"": 1e-09}",nloc;token_count;complexity,"{""complexity"": ""cyclomatic_complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.5714285714,0.5614035088,-0.01002506266,0.06122652986,0.006620484352,-0.05460604551,0.4897168803,0.4592013889,-0.03051549145,0.394948396,0.3908299414,-0.00411845462
method,gitea,naive_bayes,"{""model__var_smoothing"": 1e-09}",nloc;token_count;complexity,"{""complexity"": ""cyclomatic_complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.5550094405,0.5482515926,-0.006757847843,0.1186647882,0.06079238825,-0.05787239992,0.5194773413,0.5041186984,-0.01535864288,0.378234595,0.3609197448,-0.01731485026
method,grafana,naive_bayes,"{""model__var_smoothing"": 1e-09}",nloc;token_count;complexity,"{""complexity"": ""cyclomatic_complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.5131985397,0.5118723239,-0.001326215875,0.07442933416,0.02769513836,-0.04673419581,0.5842776497,0.5181620204,-0.06611562929,0.4023237361,0.3529619175,-0.04936181856
method,influxdb,naive_bayes,"{""model__var_smoothing"": 1e-09}",nloc;token_count;complexity,"{""complexity"": ""cyclomatic_complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.7361512208,0.724456773,-0.01169444779,0.275612277,0.1319715181,-0.1436407588,0.6950153174,0.5605093458,-0.1345059717,0.7373449536,0.5920221059,-0.1453228476
method,kubernetes,naive_bayes,"{""model__var_smoothing"": 1e-09}",nloc;token_count;complexity,"{""complexity"": ""cyclomatic_complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.6588921283,0.6591294517,0.0002373233877,-0.01009928709,-0.07952085904,-0.06942157195,0.5720941865,0.4993870051,-0.07270718142,0.5971315796,0.5536131249,-0.04351845472
method,minio,naive_bayes,"{""model__var_smoothing"": 1e-09}",nloc;token_count;complexity,"{""complexity"": ""cyclomatic_complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.705337721,0.7143363908,0.008998669807,0.1725375147,0.1037710179,-0.06876649676,0.6043229958,0.5663909894,-0.03793200645,0.6267396954,0.5845752189,-0.04216447646
method,nomad,naive_bayes,"{""model__var_smoothing"": 1e-09}",nloc;token_count;complexity,"{""complexity"": ""cyclomatic_complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.571577575,0.5719289467,0.0003513717426,0.0532264462,0.01461292495,-0.03861352124,0.5612064875,0.5296388158,-0.03156767171,0.4520659198,0.4391105989,-0.01295532088
method,packer,naive_bayes,"{""model__var_smoothing"": 1e-09}",nloc;token_count;complexity,"{""complexity"": ""cyclomatic_complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.5093803297,0.5069793412,-0.002400988583,0.04689018271,0.02243172164,-0.02445846106,0.4433020097,0.4663980154,0.02309600567,0.3084484476,0.3401927831,0.03174433547
method,rclone,naive_bayes,"{""model__var_smoothing"": 1e-09}",nloc;token_count;complexity,"{""complexity"": ""cyclomatic_complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.7692307692,0.7633209418,-0.005909827471,0.2186901765,0.0896546169,-0.1290355596,0.6829442123,0.5688293602,-0.1141148521,0.7512360912,0.6484447909,-0.1027913003
method,terraform,naive_bayes,"{""model__var_smoothing"": 1e-09}",nloc;token_count;complexity,"{""complexity"": ""cyclomatic_complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.5294852574,0.5298013245,0.000316067132,0.03885072228,0.0261423674,-0.01270835488,0.5498590854,0.5060390137,-0.04382007173,0.4044978605,0.3730981886,-0.03139967197
method,traefik,naive_bayes,"{""model__var_smoothing"": 1e-09}",nloc;token_count;complexity,"{""complexity"": ""cyclomatic_complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.4274852331,0.4307126437,0.00322741055,-0.0009017756523,0.001273713878,0.00217548953,0.5196193848,0.4924931723,-0.02712621248,0.2943973621,0.2699022443,-0.02449511777
method,vault,naive_bayes,"{""model__var_smoothing"": 1e-09}",nloc;token_count;complexity,"{""complexity"": ""cyclomatic_complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.4025122884,0.4089312594,0.006418971041,0.006673287723,-0.01135764218,-0.0180309299,0.4937743018,0.466279481,-0.02749482078,0.2745522885,0.2494539062,-0.02509838232
