target_project,model_name,status,inner_cv_strategy,best_params,best_inner_f1,best_inner_mcc,retained_feature_count,dropped_constant_feature_count,dropped_constant_features,error_message,accuracy,balanced_accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision,recall,f1,mcc,roc_auc,auc,pr_auc,true_negative,false_positive,false_negative,true_positive,test_total,test_negative,test_positive,test_positive_ratio,predicted_negative,predicted_positive,granularity,source_project_count,source_row_count,source_bug_count,source_non_bug_count,source_bug_ratio,target_row_count,target_bug_count,target_non_bug_count,target_bug_ratio,resampling,always_positive_f1_1,majority_f1_1,f1_gap_to_majority,minority_count,adequacy
gin,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 1.0}",0.4206847430212964,0.0528625572113783,23,0,,,0.5042016806722689,0.5436271590232281,0.675,0.3698630136986301,0.4778761061946903,0.4177215189873418,0.717391304347826,0.528,0.4177215189873418,0.717391304347826,0.528,0.0899463890741148,0.6051220964860037,0.6051220964860037,0.5208534016048225,27,46,13,33,119,73,46,0.3865546218487395,40,79,file,15,41037,11875,29162,0.2893730048492823,119,46,73,0.3865546218487395,smote,0.5575757575757576,0.0,0.528,46,EXPLORATORY
gitea,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.4358090700275421,0.0504516683092658,23,0,,,0.3980511698191861,0.5031799852292163,0.747719810288216,0.2872862349313148,0.4150886075949367,0.2582245240353052,0.7190737355271176,0.3799914126234435,0.2582245240353052,0.7190737355271176,0.3799914126234435,0.0061486413696556,0.5111678711136646,0.5111678711136646,0.2633586310458327,4099,10169,1383,3540,19191,14268,4923,0.2565264967953728,5482,13709,file,15,21965,6998,14967,0.3185977691782381,19191,4923,14268,0.2565264967953728,smote,0.4083105250062204,0.0,0.3799914126234435,4923,PRIMARY
grafana,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 0.1}",0.4280889146571013,0.0577992066538913,23,0,,,0.4723926380368098,0.5354747288524526,0.7629558541266794,0.3955223880597014,0.5209698558322412,0.2972816657027183,0.6754270696452037,0.4128514056224899,0.2972816657027183,0.6754270696452037,0.4128514056224899,0.0653744549911067,0.5511699060544846,0.5511699060544846,0.3056270726404811,795,1215,247,514,2771,2010,761,0.2746300974377481,1042,1729,file,15,38385,11160,27225,0.29073856975381,2771,761,2010,0.2746300974377481,smote,0.4309173272933182,0.0,0.4128514056224899,761,PRIMARY
influxdb,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 1.0}",0.4278361209086549,0.0500696184854416,23,0,,,0.5075987841945289,0.5387938195713574,0.740484429065744,0.4622030237580993,0.5691489361702128,0.3252032520325203,0.6153846153846154,0.425531914893617,0.3252032520325203,0.6153846153846154,0.425531914893617,0.0713901400557097,0.5477930996289527,0.5477930996289527,0.3268229523130267,214,249,75,120,658,463,195,0.2963525835866261,289,369,file,15,40498,11726,28772,0.2895451627240851,658,195,463,0.2963525835866261,smote,0.4572098475967174,0.0,0.425531914893617,195,PRIMARY
kubernetes,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 0.1}",0.4255002577291524,0.0495255840744366,23,0,,,0.5872235872235873,0.5411529056760835,0.6618705035971223,0.7131782945736435,0.6865671641791045,0.4263565891472868,0.3691275167785235,0.39568345323741,0.4263565891472868,0.3691275167785235,0.39568345323741,0.0852150365344724,0.5561365173508143,0.5561365173508143,0.4081822889280004,184,74,94,55,407,258,149,0.366093366093366,278,129,file,15,40749,11772,28977,0.2888905249208569,407,149,258,0.366093366093366,smote,0.5359712230215826,0.0,0.39568345323741,149,PRIMARY
minio,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 1.0}",0.4254607274972534,0.0486168091166953,23,0,,,0.5258757062146893,0.5218804537521815,0.6666666666666666,0.5354275741710297,0.5938830816879598,0.3733521657250471,0.5083333333333333,0.4305103148751357,0.3733521657250471,0.5083333333333333,0.4305103148751357,0.0418480635481068,0.523417460956728,0.523417460956728,0.3576682786059953,1534,1331,767,793,4425,2865,1560,0.3525423728813559,2301,2124,file,15,36731,10361,26370,0.2820778089352318,4425,1560,2865,0.3525423728813559,smote,0.5213032581453634,0.0,0.4305103148751357,1560,PRIMARY
nomad,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 10.0}",0.4272900697202502,0.0540896566584744,23,0,,,0.5100671140939598,0.5386941022517034,0.6723044397463002,0.4257028112449799,0.521311475409836,0.4033379694019471,0.651685393258427,0.4982817869415807,0.4033379694019471,0.651685393258427,0.4982817869415807,0.0765103275923907,0.5358482619617044,0.5358482619617044,0.3842030467318161,318,429,155,290,1192,747,445,0.3733221476510067,473,719,file,15,39964,11476,28488,0.2871584425983385,1192,445,747,0.3733221476510067,smote,0.5436774587660353,0.0,0.4982817869415807,445,PRIMARY
packer,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 0.1}",0.4239249786263144,0.0541729686526178,23,0,,,0.5072765072765073,0.5393557422969187,0.6825396825396826,0.4215686274509804,0.5212121212121212,0.3938356164383562,0.6571428571428571,0.4925053533190578,0.3938356164383562,0.6571428571428571,0.4925053533190578,0.0775345933687643,0.5448552754435108,0.5448552754435108,0.3790872611613051,129,177,60,115,481,306,175,0.3638253638253638,189,292,file,15,40675,11746,28929,0.2887768899815611,481,175,306,0.3638253638253638,smote,0.5335365853658536,0.0,0.4925053533190578,175,PRIMARY
rclone,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 0.1}",0.4331311767843591,0.0618507813609882,23,0,,,0.5280898876404494,0.4946278825995807,0.5916666666666667,0.6698113207547169,0.6283185840707964,0.396551724137931,0.3194444444444444,0.3538461538461538,0.396551724137931,0.3194444444444444,0.3538461538461538,-0.0112509722036418,0.4888626834381551,0.4888626834381551,0.4015078700648402,71,35,49,23,178,106,72,0.4044943820224719,120,58,file,15,40978,11849,29129,0.289155156425399,178,72,106,0.4044943820224719,smote,0.576,0.0,0.3538461538461538,72,EXPLORATORY
terraform,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 10.0}",0.4237317287525016,0.0483241442370396,23,0,,,0.4991561181434599,0.5450367874941116,0.7010804321728692,0.3837056504599211,0.4959660297239915,0.3897202342225114,0.7063679245283019,0.5023060796645702,0.3897202342225114,0.7063679245283019,0.5023060796645702,0.0904363899851433,0.563256591996628,0.563256591996628,0.3913792397375073,584,938,249,599,2370,1522,848,0.3578059071729957,833,1537,file,15,38786,11073,27713,0.2854896096529675,2370,848,1522,0.3578059071729957,smote,0.5270354257302672,0.0,0.5023060796645702,848,PRIMARY
